,PSNR
844,42.3668721173728
845,38.1673878665482
846,42.3486474130409
847,35.9419422823275
848,42.0992348295367
849,41.5395705634146
850,41.6203376582849
851,42.5975826688475
852,42.9753919508716
853,34.1958378737181
854,41.1753543431023
855,40.3486374658806
856,40.8515630297708
857,40.0102012480286
858,41.7796065625121
859,40.3763695642139
860,42.205178522474
861,42.3603875259788
862,41.5879803379177
863,41.4385990738679
864,40.5630222184752
865,43.1276080364715
866,43.2340119593877
867,42.2423454362766
868,43.1269716338414
869,37.4171446313346
870,42.5766670063577
871,36.2967385483592
872,43.6013904414319
873,40.4299360355528
874,40.263833421042
875,38.8996177027826
876,38.957853007893
877,42.6495572539816
878,39.8227908326418
879,38.5656863564437
880,40.9143265385446
881,40.4197155098681
882,39.8294388813941
883,40.1956810058928
884,36.9507810927933
885,36.7683548394536
886,41.4487106727722
887,42.7901572324439
888,41.1474550649558
889,43.5805157725628
890,36.3336203438938
891,34.0410180704032
892,42.5631759364553
893,43.8820728311652
894,42.8324266815348
895,41.2576854765922
896,41.920834073732
897,40.8650878900469
898,43.3690075519714
899,42.9532837125847
900,36.7445104448884
901,35.9722868008529
902,41.6982322044269
903,38.9872825477114
904,41.5397963279136
905,41.7786814315519
906,39.1114764489041
907,37.8134906818128
908,35.5898709661979
909,37.0770732362867
910,42.6591273392841
911,41.4881997436048
912,41.5441093186819
913,42.9237717428099
914,41.5202045747822
915,36.8183567856551
916,35.8580769731861
917,40.8555881848026
918,34.3880267391726
919,37.3078361603704
920,40.9883232544023
921,43.8346548351362
922,42.529734635
923,40.7721830317992
924,41.2730214780819
925,38.3407856985644
926,39.897112936768
927,41.8621711181155
928,41.6159508643513
929,34.9076684295132
930,42.0635347157004
931,42.8798956744446
932,37.6402611282999
933,41.865010898501
934,42.8325408012794
935,43.5442532912271
936,34.2443106650866
937,41.1339481881029
938,40.861154609935
939,39.7178328869191
940,43.2134723671413
941,41.4072105779926
942,37.4212458353064
943,40.1326211400589
944,34.4452300462103
945,36.4737731831216
946,37.3590789734887
947,41.067490261723
948,40.7106468236292
949,34.1010618478916
950,39.9206570658545
951,42.0044438278074
952,42.6524146667648
953,42.8905285012073
954,42.9088091209026
955,40.5779357525682
956,36.6908217303948
957,37.0314854853313
958,42.0521662223859
959,35.856504787652
960,44.0679375091931
961,39.8891866885402
962,42.5682643455855
963,33.3615171278693
964,41.9553676639768
965,43.7839523601639
966,37.5558602749925
967,34.06964239377
968,41.8572925568691
